@RELATION pacman-data

@ATTRIBUTE comida-cercana NUMERIC
@ATTRIBUTE dist-fantasma-0 NUMERIC
@ATTRIBUTE dist-fantasma-1 NUMERIC
@ATTRIBUTE dist-fantasma-2 NUMERIC
@ATTRIBUTE dist-fantasma-3 NUMERIC
@ATTRIBUTE pos-pac-X NUMERIC
@ATTRIBUTE pos-pac-Y NUMERIC
@ATTRIBUTE pos-fantasma-cercano-X NUMERIC
@ATTRIBUTE pos-fantasma-cercano-Y NUMERIC
@ATTRIBUTE mejor-direccion {East, West, North, South}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score-siguiente NUMERIC
@ATTRIBUTE direction {East, West, North, South, Stop}

@data
0, 21, 15, 6, 0, 23, 6, 17, 6, West, 150, 149, South
0, 20, 14, 5, 0, 22, 6, 17, 6, West, 149, 148, West
0, 19, 13, 4, 0, 21, 6, 17, 6, West, 148, 147, West
0, 18, 12, 3, 0, 20, 6, 17, 6, West, 147, 146, West
0, 17, 11, 2, 0, 19, 6, 17, 6, West, 146, 145, West
0, 16, 10, 1, 0, 18, 6, 17, 6, West, 145, 344, West
0, 15, 9, 0, 0, 17, 6, 11, 3, West, 344, 343, West
0, 14, 8, 0, 0, 16, 6, 11, 3, West, 343, 342, West
0, 13, 7, 0, 0, 15, 6, 11, 3, West, 342, 341, West
0, 12, 6, 0, 0, 14, 6, 11, 3, West, 341, 340, West
0, 11, 7, 0, 0, 14, 7, 11, 3, South, 340, 339, North
0, 10, 8, 0, 0, 14, 8, 11, 3, South, 339, 338, North
0, 9, 9, 0, 0, 14, 9, 5, 9, West, 338, 337, North
0, 10, 10, 0, 0, 14, 10, 5, 9, West, 337, 336, North
0, 11, 11, 0, 0, 14, 11, 5, 9, West, 336, 335, North
0, 12, 12, 0, 0, 14, 12, 5, 9, West, 335, 334, North
0, 11, 11, 0, 0, 13, 12, 5, 9, West, 334, 333, West
0, 10, 10, 0, 0, 12, 12, 5, 9, West, 333, 332, West
0, 9, 9, 0, 0, 11, 12, 5, 9, West, 332, 331, West
0, 8, 8, 0, 0, 11, 11, 5, 9, West, 331, 330, South
0, 7, 7, 0, 0, 11, 10, 5, 9, West, 330, 329, South
0, 6, 6, 0, 0, 11, 9, 5, 9, West, 329, 328, South
0, 7, 5, 0, 0, 11, 8, 11, 3, South, 328, 327, South
0, 8, 4, 0, 0, 11, 7, 11, 3, South, 327, 326, South
0, 9, 3, 0, 0, 11, 6, 11, 3, South, 326, 325, South
0, 10, 2, 0, 0, 11, 5, 11, 3, South, 325, 324, South
0, 11, 1, 0, 0, 11, 4, 11, 3, South, 324, 523, South
0, 12, 0, 0, 0, 11, 3, 5, 9, West, 523, 522, South
0, 11, 0, 0, 0, 10, 3, 5, 9, North, 522, 521, West
0, 10, 0, 0, 0, 9, 3, 5, 9, North, 521, 520, West
0, 9, 0, 0, 0, 8, 3, 5, 9, North, 520, 519, West
0, 8, 0, 0, 0, 8, 4, 5, 9, North, 519, 518, North
0, 7, 0, 0, 0, 8, 5, 5, 9, North, 518, 517, North
0, 6, 0, 0, 0, 8, 6, 5, 9, West, 517, 516, North
0, 5, 0, 0, 0, 7, 6, 5, 9, North, 516, 515, West
0, 4, 0, 0, 0, 6, 6, 5, 9, North, 515, 514, West
0, 3, 0, 0, 0, 5, 6, 5, 9, North, 514, 513, West
0, 2, 0, 0, 0, 5, 7, 5, 9, North, 513, 512, North
0, 1, 0, 0, 0, 5, 8, 5, 9, North, 512, 711, North
0, 0, 0, 0, 0, 5, 9, 5, 9, East, 711, 711, North

0, 13, 25, 28, 29, 1, 18, 5, 9, South, -1, -2, Stop
0, 14, 24, 27, 28, 1, 18, 5, 8, South, -2, -3, Stop
0, 12, 22, 26, 27, 2, 18, 5, 9, South, -3, -4, East
0, 11, 20, 24, 25, 3, 18, 5, 9, South, -4, -5, East
0, 11, 18, 24, 25, 4, 18, 5, 8, South, -5, -6, East
0, 10, 16, 23, 23, 5, 18, 5, 8, South, -6, -7, East
0, 12, 16, 21, 21, 6, 18, 4, 8, South, -7, -8, East
0, 14, 16, 20, 21, 7, 18, 4, 7, South, -8, -9, East
0, 14, 15, 19, 19, 8, 18, 4, 8, South, -9, -10, East
0, 16, 15, 19, 19, 9, 18, 8, 4, South, -10, -11, East
0, 18, 17, 19, 17, 10, 18, 8, 3, South, -11, -12, East
0, 18, 19, 19, 17, 11, 18, 24, 14, East, -12, -13, East
0, 20, 19, 18, 16, 12, 18, 24, 14, East, -13, -14, East
0, 21, 19, 18, 14, 13, 18, 24, 15, East, -14, -15, East
0, 21, 19, 16, 12, 14, 18, 23, 15, East, -15, -16, East
0, 23, 19, 14, 10, 15, 18, 23, 16, East, -16, -17, East
0, 25, 21, 13, 9, 16, 18, 23, 16, East, -17, -18, East
0, 27, 21, 13, 9, 17, 18, 23, 15, East, -18, -19, East
0, 27, 21, 13, 9, 18, 18, 23, 14, East, -19, -20, East
0, 28, 22, 13, 8, 19, 18, 23, 14, East, -20, -21, East
0, 30, 24, 15, 6, 20, 18, 22, 14, South, -21, -22, East
0, 28, 23, 15, 6, 20, 17, 22, 13, South, -22, -23, South
0, 27, 23, 13, 4, 20, 16, 22, 14, East, -23, -24, South
0, 29, 24, 13, 3, 21, 16, 22, 14, South, -24, -25, East
0, 31, 24, 14, 1, 22, 16, 22, 15, South, -25, -26, East
0, 31, 24, 13, 1, 22, 15, 21, 15, West, -26, 173, South
0, 29, 24, 12, 0, 21, 15, 19, 5, South, 173, 172, West
0, 29, 22, 10, 0, 20, 15, 20, 5, South, 172, 171, West
0, 27, 22, 8, 0, 20, 14, 20, 6, South, 171, 170, South
0, 25, 21, 7, 0, 20, 13, 20, 6, South, 170, 169, South
0, 23, 19, 7, 0, 20, 12, 19, 6, South, 169, 168, South
0, 21, 19, 5, 0, 20, 11, 20, 6, South, 168, 167, South
0, 20, 19, 5, 0, 20, 10, 21, 6, South, 167, 166, South
0, 20, 19, 5, 0, 21, 10, 20, 6, South, 166, 165, East
0, 21, 20, 7, 0, 22, 10, 20, 5, South, 165, 164, East
0, 23, 22, 8, 0, 23, 10, 20, 5, South, 164, 163, East
0, 23, 20, 8, 0, 23, 9, 20, 4, South, 163, 162, South
0, 23, 20, 7, 0, 23, 8, 20, 4, South, 162, 161, South
0, 21, 20, 7, 0, 23, 7, 20, 3, South, 161, 160, South
0, 21, 20, 6, 0, 23, 6, 20, 3, West, 160, 159, South
0, 23, 19, 4, 0, 23, 5, 21, 3, West, 159, 158, South
0, 23, 19, 2, 0, 23, 4, 21, 4, West, 158, 157, South
0, 21, 17, 2, 0, 22, 4, 21, 3, West, 157, 156, West
0, 19, 15, 1, 0, 21, 4, 21, 3, South, 156, 155, West
0, 19, 14, 1, 0, 20, 4, 20, 3, South, 155, 154, West
0, 17, 12, 1, 0, 19, 4, 19, 3, South, 154, 353, West
0, 17, 12, 0, 0, 19, 3, 8, 4, West, 353, 352, South
0, 17, 11, 0, 0, 19, 3, 8, 3, West, 352, 351, South
0, 17, 11, 0, 0, 18, 3, 7, 3, West, 351, 350, West
0, 16, 10, 0, 0, 17, 3, 7, 3, West, 350, 349, West
0, 14, 8, 0, 0, 16, 3, 8, 3, West, 349, 348, West
0, 12, 8, 0, 0, 15, 3, 8, 4, West, 348, 347, West
0, 12, 6, 0, 0, 14, 3, 8, 3, West, 347, 346, West
0, 10, 8, 0, 0, 14, 4, 7, 3, West, 346, 345, North
0, 9, 10, 0, 0, 14, 5, 6, 6, West, 345, 344, North
0, 9, 11, 0, 0, 14, 6, 5, 6, West, 344, 343, North
0, 10, 13, 0, 0, 14, 7, 5, 6, West, 343, 342, North
0, 11, 13, 0, 0, 14, 8, 5, 6, West, 342, 341, North
0, 12, 14, 0, 0, 14, 9, 5, 6, West, 341, 340, North
0, 12, 15, 0, 0, 14, 10, 5, 7, West, 340, 339, North
0, 13, 15, 0, 0, 14, 11, 5, 7, West, 339, 338, North
0, 13, 15, 0, 0, 14, 12, 5, 8, West, 338, 337, North
0, 11, 13, 0, 0, 13, 12, 5, 9, West, 337, 336, West
0, 11, 11, 0, 0, 12, 12, 4, 9, West, 336, 335, West
0, 11, 9, 0, 0, 11, 12, 10, 4, South, 335, 334, West
0, 9, 7, 0, 0, 11, 11, 10, 5, South, 334, 333, South
0, 7, 5, 0, 0, 11, 10, 10, 6, South, 333, 332, South
0, 7, 5, 0, 0, 11, 9, 9, 6, South, 332, 331, South
0, 9, 5, 0, 0, 11, 8, 9, 5, South, 331, 330, South
0, 9, 5, 0, 0, 11, 7, 8, 5, West, 330, 329, South
0, 9, 3, 0, 0, 11, 6, 8, 6, West, 329, 328, South
0, 8, 2, 0, 0, 10, 6, 8, 6, West, 328, 527, West
0, 7, 0, 0, 0, 9, 6, 6, 10, North, 527, 526, West
0, 7, 0, 0, 0, 8, 6, 5, 10, North, 526, 525, West
0, 5, 0, 0, 0, 7, 6, 5, 9, North, 525, 524, West
0, 3, 0, 0, 0, 6, 6, 5, 8, North, 524, 523, West
0, 3, 0, 0, 0, 5, 6, 5, 9, North, 523, 522, West
0, 3, 0, 0, 0, 5, 7, 4, 9, North, 522, 521, North
0, 2, 0, 0, 0, 5, 8, 4, 9, West, 521, 720, North
0, 0, 0, 0, 0, 5, 9, 5, 9, East, 720, 720, North

1, 16, 13, 12, 15, 14, 1, 14, 13, North, -1, -2, Stop
1, 15, 13, 13, 15, 14, 1, 13, 13, North, -2, -3, Stop
1, 15, 14, 12, 15, 14, 1, 14, 13, North, -3, 96, Stop
1, 15, 15, 12, 13, 15, 1, 15, 13, North, 96, 195, East
1, 15, 13, 12, 13, 15, 2, 16, 13, North, 195, 294, North
1, 13, 12, 12, 11, 15, 3, 16, 13, North, 294, 393, North
1, 14, 13, 11, 11, 16, 3, 17, 13, North, 393, 492, East
1, 15, 13, 10, 11, 17, 3, 17, 13, North, 492, 591, East
1, 15, 14, 11, 12, 18, 3, 17, 13, North, 591, 690, East
1, 13, 14, 10, 11, 18, 4, 17, 13, North, 690, 789, North
1, 11, 13, 9, 11, 18, 5, 17, 13, North, 789, 888, North
1, 11, 12, 9, 9, 18, 6, 16, 13, North, 888, 987, North
1, 11, 12, 7, 8, 17, 6, 17, 13, North, 987, 1086, West
1, 10, 10, 8, 8, 16, 6, 17, 13, North, 1086, 1185, West
1, 10, 10, 8, 8, 15, 6, 16, 13, North, 1185, 1284, West
1, 9, 10, 8, 8, 15, 7, 17, 13, North, 1284, 1383, North
1, 8, 8, 7, 6, 15, 8, 14, 13, North, 1383, 1482, North
1, 7, 6, 6, 4, 15, 9, 15, 13, North, 1482, 1581, North
1, 7, 8, 5, 6, 16, 9, 17, 13, North, 1581, 1680, East
1, 9, 10, 4, 7, 17, 9, 17, 13, North, 1680, 1779, East
1, 11, 10, 5, 7, 18, 9, 17, 13, North, 1779, 1878, East
1, 11, 12, 7, 7, 19, 9, 16, 13, North, 1878, 1977, East
1, 12, 13, 9, 9, 20, 9, 15, 13, West, 1977, 2076, East
1, 12, 13, 10, 11, 21, 9, 15, 13, West, 2076, 2175, East
1, 11, 12, 10, 11, 21, 10, 14, 13, West, 2175, 2274, North
1, 9, 12, 10, 11, 21, 11, 16, 15, West, 2274, 2373, North
1, 8, 10, 9, 11, 21, 12, 16, 15, West, 2373, 2472, North
1, 6, 9, 8, 9, 21, 13, 17, 15, West, 2472, 2471, North
2, 4, 9, 6, 8, 20, 13, 18, 15, West, 2471, 2470, West
3, 4, 7, 5, 6, 19, 13, 17, 15, West, 2470, 2469, West
2, 4, 5, 5, 6, 19, 14, 16, 15, West, 2469, 2468, North
2, 2, 6, 6, 7, 19, 15, 17, 15, West, 2468, 2667, North
3, 0, 5, 6, 7, 18, 15, 14, 14, West, 2667, 2666, West
3, 0, 4, 4, 7, 17, 15, 14, 14, West, 2666, 2665, West
3, 0, 4, 3, 6, 16, 15, 15, 13, South, 2665, 2664, West
3, 0, 2, 3, 4, 15, 15, 14, 14, West, 2664, 2663, West
4, 0, 2, 1, 4, 14, 15, 14, 14, South, 2663, 2862, West
5, 0, 2, 0, 3, 14, 14, 15, 13, East, 2862, 2861, South
6, 0, 1, 0, 2, 14, 13, 15, 13, East, 2861, 3060, South
5, 0, 0, 0, 3, 15, 13, 12, 13, West, 3060, 3059, East
6, 0, 0, 0, 1, 14, 13, 13, 13, West, 3059, 3258, West
5, 23, 0, 0, 0, 13, 13, 1, 2, West, 3258, 3258, West

1, 16, 13, 12, 15, 14, 1, 14, 13, North, -1, 98, Stop
1, 17, 14, 13, 14, 15, 1, 14, 13, North, 98, 197, East
1, 16, 13, 12, 13, 15, 2, 14, 13, North, 197, 296, North
